peer_pub_key,filename,size_gb,sha256
<some-public-key-Q>,Q-file1,1.0,<some-hash-Q1>
<some-public-key-Q>,Q-file2,2.0,<some-hash-Q2>
<some-public-key-L>,L-file1,0.3,<some-hash-L1>
<some-public-key-A>,A-file1,0.6,<some-hash-A1>
<some-public-key-B>,B-file1,2.5,<some-hash-B1>
<some-public-key-C>,C-file1,0.3,<some-hash-C1>
<some-public-key-A>,A-file2,4.1,<some-hash-A2>
<some-public-key-A>,A-file3,0.7,<some-hash-A3>
<some-public-key-D>,D-file1,0.3,<some-hash-D1>
<some-public-key-E>,E-file1,0.9,<some-hash-E1>
<some-public-key-E>,E-file2,1.0,<some-hash-E2>
<some-public-key-F>,F-file1,3.1,<some-hash-F1>
