peer_pub_key,filename,size_gb,sha256,b64_nonce
<some-public-key-L>,myfileL1,1.0,<some-hash-mL1>,
<some-public-key-L>,myfileL2,0.5,<some-hash-mL2>,
<some-public-key-Q>,myfileQ1,0.7,<some-hash-mQ1>,
<some-public-key-A>,myfileA1,1.3,<some-hash-mA1>,
<some-public-key-B>,myfileB1,2.1,<some-hash-mB1>,
<some-public-key-A>,myfileA2,0.9,<some-hash-mA2>,
<some-public-key-A>,myfileA3,0.4,<some-hash-mA3>,
<some-public-key-G>,myfileG1,0.7,<some-hash-mG1>,
<some-public-key-G>,myfileG2,0.7,<some-hash-mG2>,
<some-public-key-E>,myfileE1,0.3,<some-hash-mE1>,
<some-public-key-F>,myfileF1,0.1,<some-hash-mF1>,
<some-public-key-G>,myfileG3,1.5,<some-hash-mG3>,
<some-public-key-A>,myfileA4,0.8,<some-hash-mA4>,
"MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAxXaJgt8rIUYgt56X1Zb/
YIKIeLQ+jBN2gxWo1PzYVXKTH/zBdwXL7SA0LJ6WVfQSG8RIHDMul7TQgOB6dI25
S8JhkIurT44lIKSgK9XfUnX11ZTp9gA/UeYiL5+UQrCgn3D2sYiXXFsUzaWel9Jd
E1U5wtiajNG/19z+Ltu8mk+L6cW32qHsI9+6aV6TgKKLT1Q/nmj/ldeTPL/4fsgp
9msL40/5cJjnAYMlidtxRZpJQgFjGN660s/TYMvyf8N0DXSfEaVIySNvFry7Nshy
bLySKsYXzaHTKN7uiVjDG0B435gkUP90gsh4a85fd5UY5doRCyI2NGgWqNXh02ze
9wIDAQAB",test.txt,4.4703483581542975e-08,94ee1a4fe61e501a340c6e8c05000beb918942473a64b36daa629f545ff08fba,F0FTpAdik/AXX9CV
"MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAxXaJgt8rIUYgt56X1Zb/
YIKIeLQ+jBN2gxWo1PzYVXKTH/zBdwXL7SA0LJ6WVfQSG8RIHDMul7TQgOB6dI25
S8JhkIurT44lIKSgK9XfUnX11ZTp9gA/UeYiL5+UQrCgn3D2sYiXXFsUzaWel9Jd
E1U5wtiajNG/19z+Ltu8mk+L6cW32qHsI9+6aV6TgKKLT1Q/nmj/ldeTPL/4fsgp
9msL40/5cJjnAYMlidtxRZpJQgFjGN660s/TYMvyf8N0DXSfEaVIySNvFry7Nshy
bLySKsYXzaHTKN7uiVjDG0B435gkUP90gsh4a85fd5UY5doRCyI2NGgWqNXh02ze
9wIDAQAB",test.txt,4.470348358154297e-08,b09b5d6c0501f5fc097db3ca5010b97beafa11584f066c4ed7ac0f13f1e817d4,JKzMwmeCYMmKCn+U
